stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
input_y8,8,sign-extend,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
input_y8,13,zero-fill,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
input_y8,13,sign-extend,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
input_y8,16,zero-fill,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
input_y8,16,sign-extend,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
c1,8,zero-fill,OUT_OF_RANGE,4096,NA,NA,NA,NA,-263,257,row-major
c1,8,sign-extend,OUT_OF_RANGE,4096,NA,NA,NA,NA,-263,257,row-major
c1,13,zero-fill,VALID,4096,000000E6,00BB2E62,00BB2E62,D5F52A8E,-263,257,row-major
c1,13,sign-extend,VALID,4096,000000E6,0001EE62,0001EE62,18036A8E,-263,257,row-major
c1,16,zero-fill,VALID,4096,000000E6,05CBEE62,05CBEE62,07916A8E,-263,257,row-major
c1,16,sign-extend,VALID,4096,000000E6,0001EE62,0001EE62,18036A8E,-263,257,row-major
c2,8,zero-fill,OUT_OF_RANGE,4096,NA,NA,NA,NA,-263,257,row-major
c2,8,sign-extend,OUT_OF_RANGE,4096,NA,NA,NA,NA,-263,257,row-major
c2,13,zero-fill,VALID,4096,00001FC9,00E71751,00E71751,C44E0BDF,-263,257,row-major
c2,13,sign-extend,VALID,4096,00001FC9,00007751,00007751,075FABDF,-263,257,row-major
c2,16,zero-fill,VALID,4096,0000FFC9,07357751,07357751,EED2ABDF,-263,257,row-major
c2,16,sign-extend,VALID,4096,0000FFC9,00007751,00007751,075FABDF,-263,257,row-major
ll1,8,zero-fill,OUT_OF_RANGE,1024,NA,NA,NA,NA,43,208,row-major
ll1,8,sign-extend,OUT_OF_RANGE,1024,NA,NA,NA,NA,43,208,row-major
ll1,13,zero-fill,VALID,1024,000000A4,0001FB70,0001FB70,03F882F4,43,208,row-major
ll1,13,sign-extend,VALID,1024,000000A4,0001FB70,0001FB70,03F882F4,43,208,row-major
ll1,16,zero-fill,VALID,1024,000000A4,0001FB70,0001FB70,03F882F4,43,208,row-major
ll1,16,sign-extend,VALID,1024,000000A4,0001FB70,0001FB70,03F882F4,43,208,row-major
recon_y8,8,zero-fill,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
recon_y8,8,sign-extend,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
recon_y8,13,zero-fill,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
recon_y8,13,sign-extend,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
recon_y8,16,zero-fill,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
recon_y8,16,sign-extend,VALID,4096,00000080,0007E200,0007E200,3F123600,0,255,row-major
