quantity,observed_min,observed_max,theoretical_min,theoretical_max,status
l_row_l1,33,224,-127,383,PASS
h_row_l1,-135,145,-255,255,PASS
ll1,55,190,-382,638,PASS
hl1,-193,192,-510,510,PASS
lh1,-95,95,-510,510,PASS
hh1,-263,257,-510,510,PASS
l_row_l2,57,188,-892,1148,PASS
h_row_l2,-66,95,-1020,1020,PASS
ll2,102,148,-1912,2168,PASS
hl2,-71,53,-2040,2040,PASS
lh2,-83,110,-2040,2040,PASS
hh2,-108,117,-2040,2040,PASS
