stream,width,extension,status,count,xor,A,sum,B,observed_min,observed_max,order
input_y8,8,zero-fill,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
input_y8,8,sign-extend,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
input_y8,13,zero-fill,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
input_y8,13,sign-extend,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
input_y8,16,zero-fill,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
input_y8,16,sign-extend,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
c1,8,zero-fill,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c1,8,sign-extend,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c1,13,zero-fill,VALID,96,00000040,00044CCA,00044CCA,00A7E4E0,-257,257,row-major
c1,13,sign-extend,VALID,96,00000040,00000CCA,00000CCA,0003E4E0,-257,257,row-major
c1,16,zero-fill,VALID,96,00000040,00220CCA,00220CCA,0523E4E0,-257,257,row-major
c1,16,sign-extend,VALID,96,00000040,00000CCA,00000CCA,0003E4E0,-257,257,row-major
c2,8,zero-fill,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c2,8,sign-extend,OUT_OF_RANGE,96,NA,NA,NA,NA,-257,257,row-major
c2,13,zero-fill,VALID,96,00001FE4,0005256A,0005256A,00E1F9F8,-257,257,row-major
c2,13,sign-extend,VALID,96,00001FE4,0000056A,0000056A,0001D9F8,-257,257,row-major
c2,16,zero-fill,VALID,96,0000FFE4,0029056A,0029056A,0702D9F8,-257,257,row-major
c2,16,sign-extend,VALID,96,0000FFE4,0000056A,0000056A,0001D9F8,-257,257,row-major
ll1,8,zero-fill,OUT_OF_RANGE,24,NA,NA,NA,NA,56,185,row-major
ll1,8,sign-extend,OUT_OF_RANGE,24,NA,NA,NA,NA,56,185,row-major
ll1,13,zero-fill,VALID,24,00000058,00000BD4,00000BD4,00009235,56,185,row-major
ll1,13,sign-extend,VALID,24,00000058,00000BD4,00000BD4,00009235,56,185,row-major
ll1,16,zero-fill,VALID,24,00000058,00000BD4,00000BD4,00009235,56,185,row-major
ll1,16,sign-extend,VALID,24,00000058,00000BD4,00000BD4,00009235,56,185,row-major
recon_y8,8,zero-fill,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
recon_y8,8,sign-extend,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
recon_y8,13,zero-fill,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
recon_y8,13,sign-extend,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
recon_y8,16,zero-fill,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
recon_y8,16,sign-extend,VALID,96,00000080,00003060,00003060,000913F8,0,255,row-major
