quantity,observed_min,observed_max,theoretical_min,theoretical_max,status
l_row_l1,33,223,-127,383,PASS
h_row_l1,-135,145,-255,255,PASS
ll1,55,188,-382,638,PASS
hl1,-97,192,-510,510,PASS
lh1,-95,93,-510,510,PASS
hh1,-257,257,-510,510,PASS
l_row_l2,57,172,-892,1148,PASS
h_row_l2,-61,94,-1020,1020,PASS
ll2,105,146,-1912,2168,PASS
hl2,-71,42,-2040,2040,PASS
lh2,-79,95,-2040,2040,PASS
hh2,-111,56,-2040,2040,PASS
